@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 9\nSize of the tree: 11\n','Number of leaves: 4\nSize of the tree: 5\n','Number of leaves: 6\nSize of the tree: 7\n','Number of leaves: 12\nSize of the tree: 15\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

solar-flare,2,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.002265,0.014665,46.745987,276.961379,1.115669,0.546415,0.569254,0.010525,0.005155,0.00537,-13.088185,-0.123473,-1173.124274,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.018,0.001,0.015625,0,15.625,0,259972,130974,17392,100,34.27673,?,-1,?,?,?
solar-flare,3,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.006174,0.049539,127.265077,934.629212,1.127369,1.912565,-0.785195,0.010536,0.017874,-0.007338,-22.021669,-0.20581,-1953.367987,0.990654,106,?,0,?,0,0.009346,1,1,0.990654,0.995305,?,?,1,0.990654,?,?,0.009346,1,0.990654,0.995305,?,?,1,0.995305,0.990654,0.018,0.001,0.03125,0,31.25,0,255903,130841,17525,100,34.579439,?,-1,?,?,?
solar-flare,3,2,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.008444,0.077701,81.64054,98.621031,10.866678,1074.551204,-1063.684526,0.101558,10.042535,-9.940977,-11.690127,-0.109254,-107.577742,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.981132,0.999823,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.976636,0.990566,?,0.990654,0.017,0.001,0,0,0,0,237917,130841,17525,99.065421,34.267913,?,-1,?,?,?
solar-flare,3,3,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.008561,0.079979,82.927149,101.688344,8.866678,8.285359,0.581319,0.082866,0.077433,0.005433,-15.522728,-0.145072,-175.068135,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.924528,0.999271,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.92444,0.990867,?,0.990654,0.017,0.001,0.015625,0,15.625,0,219362,130841,17525,99.065421,34.267913,?,-1,?,?,?
solar-flare,3,4,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.009052,0.077957,87.68299,99.118136,8.866678,6.753412,2.113267,0.082866,0.063116,0.01975,-11.837755,-0.110633,-133.508339,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.981132,0.999823,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.981044,0.992815,?,0.990654,0.017,0,0.015625,0,15.625,0,209301,130841,17525,99.065421,34.267913,?,-1,?,?,?
solar-flare,3,5,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.00871,0.083416,84.371624,106.059384,8.866678,1074.685277,-1065.818599,0.082866,10.043788,-9.960921,-8.36633,-0.07819,-94.356981,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.471698,0.990118,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.471698,0.980952,?,0.990654,0.01,0,0.015625,0,15.625,0,164133,130841,17525,99.065421,33.64486,?,-1,?,?,?
solar-flare,3,6,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,106,1,0,99.065421,0.934579,0,0,0.008096,0.073518,78.425617,93.474162,8.866678,4.067322,4.799356,0.082866,0.038012,0.044854,-10.388404,-0.097088,-117.162295,1,106,1,1,0,0,0,0,0.990654,1,0.995305,?,0.990566,0.999912,0.990654,0.990654,0.009346,0.009346,?,0.990654,?,?,0.990566,0.99524,?,0.990654,0.011,0,0.015625,0,15.625,0,245634,130841,17525,100,34.579439,?,-1,?,?,?
solar-flare,3,7,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.001476,0.009464,30.454134,178.733602,1.115669,0.349494,0.766175,0.010525,0.003297,0.007228,-9.037048,-0.085255,-810.011483,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.011,0,0.015625,0,15.625,0,260991,130974,17392,100,33.962264,?,-1,?,?,?
solar-flare,3,8,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.001722,0.011648,35.527178,219.987486,1.115669,0.411965,0.703704,0.010525,0.003886,0.006639,-10.75568,-0.101469,-964.05648,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.011,0,0,0,0,0,261721,130974,17392,100,33.962264,?,-1,?,?,?
solar-flare,3,9,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.001592,0.012201,32.845084,230.433685,1.115669,0.383544,0.732125,0.010525,0.003618,0.006907,-6.730825,-0.063498,-603.299397,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.011,0.001,0,0.015625,0,15.625,260857,130974,17392,100,33.962264,?,-1,?,?,?
solar-flare,3,10,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,960,106,106,0,0,100,0,0,1,0.003049,0.024211,62.924122,457.256105,1.115669,0.782256,0.333413,0.010525,0.00738,0.003145,-14.211465,-0.13407,-1273.80653,1,106,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.012,0,0,0,0,0,256593,130974,17392,100,34.27673,?,-1,?,?,?
solar-flare,4,1,weka.classifiers.trees.RandomForest,'-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1',1116839470751428698,20200424.0238,959,107,107,0,0,100,0,0,1,0.001827,0.013556,37.658134,255.748182,1.127369,0.44925,0.67812,0.010536,0.004199,0.006338,-9.313654,-0.087043,-826.14051,1,107,?,0,?,0,0,0,1,1,1,?,?,1,1,?,?,0,1,1,1,?,?,1,1,1,0.02,0,0.015625,0,15.625,0,255829,130841,17525,100,33.64486,?,-1,?,?,?
